Image Name,ID,CTE,Yaw
image_00124.png,125,0.089894824,-3.9332662301729946
image_00125.png,126,0.12541826,-3.9332662301729946
image_00126.png,127,0.13414109,-5.2814051902359775
image_00127.png,128,0.13414109,-5.582352970966078
image_00128.png,129,0.13414109,-5.582352970966078
image_00129.png,130,0.13414109,-5.582352970966078
image_00130.png,131,0.13414109,-5.582352970966078
image_00131.png,132,0.13813615,-6.046180550151795
image_00132.png,133,0.13813615,-5.920707382018677
image_00133.png,134,0.13878055,-5.920707382018677
image_00134.png,135,0.13813615,-5.582352970966078
image_00135.png,136,0.12975363,-5.3198593045130504
image_00136.png,137,0.12541826,-5.2814051902359775
image_00137.png,138,0.12517501,-4.95804439650829
image_00138.png,139,0.120767735,-4.725798647926082
image_00139.png,140,0.11062195,-4.725798647926082
image_00140.png,141,0.11032986,-4.725798647926082
image_00141.png,142,0.11032986,-4.725798647926082
image_00142.png,143,0.11032986,-4.725798647926082
image_00143.png,144,0.120767735,-3.2634859876399815
image_00144.png,145,0.120767735,-3.2634859876399815
image_00145.png,146,0.120767735,-3.2634859876399815
image_00146.png,147,0.11032986,-2.431918231197795
image_00147.png,148,0.087783195,-2.382302679450461
image_00148.png,149,0.08548574,-1.2841566544698202
image_00149.png,150,0.055462997,-0.9597895233273588
image_00150.png,151,0.049654197,-0.9597895233273588
image_00151.png,152,0.03796309,-0.9597895233273588
image_00152.png,153,-0.009256643,-0.9597895233273588
image_00153.png,154,-0.0846354,-0.0702101037934744
image_00154.png,155,-0.0846354,-0.0702101037934744
image_00155.png,156,-0.0846354,-0.0702101037934744
image_00156.png,157,-0.09991769,1.1563241830391446
image_00157.png,158,-0.09991769,1.9278249732708985
image_00158.png,159,-0.10283669,2.219526131780172
image_00159.png,160,-0.105877765,2.439960709894273
image_00160.png,161,-0.14661896,2.439960709894273
image_00161.png,162,-0.14661896,2.439960709894273
image_00162.png,163,-0.14661896,2.439960709894273
image_00163.png,164,-0.14661896,2.439960709894273
image_00164.png,165,-0.14661896,2.439960709894273
